datetime,chp_gas_in,chp_el_out,chp_heat_out,chp_status,demand_th,unmet_demand
2026-04-22 03:00:00,6.135371179039301,2.28235807860262,2.81,1.0,2.81,0.0
2026-04-22 04:00:00,6.921397379912663,2.5747598253275106,3.17,1.0,3.17,0.0
2026-04-22 05:00:00,7.838427947598252,2.9158951965065496,3.5899999999999994,1.0,3.59,4.440892098500626e-16
2026-04-22 06:00:00,8.275109170305676,3.0783406113537115,3.7899999999999996,1.0,3.79,4.440892098500626e-16
2026-04-22 07:00:00,8.013100436681222,2.980873362445415,3.67,1.0,3.67,0.0
2026-04-22 08:00:00,6.812227074235808,2.5341484716157203,3.12,1.0,3.12,0.0
2026-04-22 09:00:00,6.113537117903929,2.274235807860262,2.8,1.0,2.8,0.0
2026-04-22 10:00:00,5.393013100436681,2.0062008733624452,2.47,1.0,2.47,0.0
2026-04-22 11:00:00,5.349344978165939,1.9899563318777291,2.45,1.0,2.45,0.0
2026-04-22 12:00:00,5.262008733624454,1.957467248908297,2.41,1.0,2.41,0.0
2026-04-22 13:00:00,5.414847161572052,2.0143231441048033,2.48,1.0,2.48,0.0
2026-04-22 14:00:00,5.283842794759825,1.965589519650655,2.42,1.0,2.42,0.0
2026-04-22 15:00:00,5.327510917030567,1.981834061135371,2.44,1.0,2.44,0.0
2026-04-22 16:00:00,5.545851528384279,2.063056768558952,2.54,1.0,2.54,0.0
2026-04-22 17:00:00,5.960698689956331,2.217379912663755,2.7299999999999995,1.0,2.73,4.440892098500626e-16
2026-04-22 18:00:00,6.834061135371178,2.5422707423580784,3.13,1.0,3.13,0.0
2026-04-22 19:00:00,7.489082969432314,2.785938864628821,3.4299999999999997,1.0,3.43,4.440892098500626e-16
2026-04-22 20:00:00,7.969432314410479,2.9646288209606984,3.6499999999999995,1.0,3.65,4.440892098500626e-16
2026-04-22 21:00:00,7.751091703056767,2.8834061135371174,3.5499999999999994,1.0,3.55,4.440892098500626e-16
